Player,Team,POS,FPTS,VORP,VORP_FLEX,VORP_SFLEX,Player First Name,Player Last Name,Player Team,ADP
Odell Beckham,MIA,WR,94.7,-60.6,-16.1,-35.4,Odell,Beckham,MIA,222.4
Jalen Tolbert,DAL,WR,96.80000000000001,-58.5,-14.0,-33.3,Jalen,Tolbert,DAL,243.5
Tim Patrick,DEN,WR,91.5,-63.8,-19.3,-38.6,,,,300.0
Dontayvion Wicks,GB,WR,92.2,-63.1,-18.6,-37.9,Dontayvion,Wicks,GB,170.9
Zay Jones,ARI,WR,97.4,-57.9,-13.4,-32.7,Zay,Jones,ARI,214.6
Rondale Moore,ATL,WR,86.60000000000001,-68.7,-24.2,-43.5,Rondale,Moore,ATL,247.1
Brandon Johnson,DEN,WR,86.30000000000001,-69.0,-24.5,-43.8,,,,300.0
Noah Brown,HOU,WR,84.80000000000001,-70.5,-26.0,-45.3,Noah,Brown,HOU,282.9
Ja'Lynn Polk,NE,WR,94.1,-61.2,-16.7,-36.0,Ja'Lynn,Polk,NE,169.7
Elijah Moore,CLE,WR,88.6,-66.7,-22.2,-41.5,Elijah,Moore,CLE,233.8
Roman Wilson,PIT,WR,91.5,-63.8,-19.3,-38.6,Roman,Wilson,PIT,174.2
Jalin Hyatt,NYG,WR,86.0,-69.3,-24.8,-44.1,Jalin,Hyatt,NYG,244.6
Trey Palmer,TB,WR,82.0,-73.3,-28.8,-48.1,Trey,Palmer,TB,277.3
Tyler Boyd,TEN,WR,93.0,-62.3,-17.8,-37.1,Tyler,Boyd,TEN,220.1
Malachi Corley,NYJ,WR,80.10000000000001,-75.2,-30.7,-50.0,Malachi,Corley,NYJ,185.0
Robert Woods,HOU,WR,88.9,-66.4,-21.9,-41.2,,,,300.0
Marquez Callaway,PIT,WR,83.0,-72.3,-27.8,-47.1,,,,300.0
Josh Reynolds,DEN,WR,77.0,-78.3,-33.8,-53.1,Josh,Reynolds,DEN,253.8
Troy Franklin,DEN,WR,77.6,-77.7,-33.2,-52.5,Troy,Franklin,DEN,165.4
Ricky Pearsall,SF,WR,70.5,-84.8,-40.3,-59.6,Ricky,Pearsall,SF,167.8
KaVontae Turpin,DAL,WR,64.2,-91.1,-46.6,-65.9,,,,300.0
Jalen McMillan,TB,WR,74.1,-81.2,-36.7,-56.0,Jalen,McMillan,TB,209.7
Luke McCaffrey,WAS,WR,76.9,-78.4,-33.9,-53.2,Luke,McCaffrey,WAS,212.0
AT Perry,NO,WR,63.5,-91.8,-47.3,-66.6,A.T.,Perry,NO,249.9
Nelson Agholor,BAL,WR,62.7,-92.6,-48.1,-67.4,,,,300.0
Van Jefferson,PIT,WR,65.7,-89.6,-45.1,-64.4,,,,300.0
Jonathan Mingo,CAR,WR,64.80000000000001,-90.5,-46.0,-65.3,Jonathan,Mingo,CAR,256.9
Greg Dortch,ARI,WR,64.0,-91.3,-46.8,-66.1,Greg,Dortch,ARI,230.6
Kalif Raymond,DET,WR,60.9,-94.4,-49.9,-69.2,Kalif,Raymond,DET,297.3
Cedrick Wilson Jr,NO,WR,60.6,-94.7,-50.2,-69.5,,,,300.0
Trenton Irwin,CIN,WR,57.800000000000004,-97.5,-53.0,-72.3,,,,300.0
Alec Pierce,IND,WR,47.400000000000006,-107.9,-63.4,-82.7,Alec,Pierce,IND,283.7
Michael Gallup,LV,WR,52.1,-103.2,-58.7,-78.0,Michael,Gallup,LV,271.2
Andrei Iosivas,CIN,WR,48.3,-107.0,-62.5,-81.8,Andrei,Iosivas,CIN,278.3
Tutu Atwell,LAR,WR,44.0,-111.3,-66.8,-86.1,Tutu,Atwell,LAR,275.2
Calvin Austin III,PIT,WR,37.900000000000006,-117.4,-72.9,-92.2,,,,300.0
Jamison Crowder,WAS,WR,49.6,-105.7,-61.2,-80.5,,,,300.0
Devontez Walker,BAL,WR,37.8,-117.5,-73.0,-92.3,Devontez,Walker,BAL,213.7
Justin Watson,KC,WR,35.3,-120.0,-75.5,-94.8,,,,300.0
KhaDarel Hodge,ATL,WR,37.5,-117.8,-73.3,-92.6,,,,300.0
Treylon Burks,TEN,WR,34.300000000000004,-121.0,-76.5,-95.8,Treylon,Burks,TEN,246.0
Bub Means,NO,WR,36.7,-118.6,-74.1,-93.4,Bub,Means,NO,300.0
Tre Tucker,LV,WR,30.400000000000002,-124.9,-80.4,-99.7,Tre,Tucker,LV,265.7
Jake Bobo,SEA,WR,33.900000000000006,-121.4,-76.9,-96.2,,,,300.0
Xavier Gipson,NYJ,WR,32.0,-123.3,-78.8,-98.1,,,,300.0
Brandon Powell,MIN,WR,36.1,-119.2,-74.7,-94.0,,,,300.0
Jauan Jennings,SF,WR,33.0,-122.3,-77.8,-97.1,Jauan,Jennings,SF,296.8
Derius Davis,LAC,WR,24.6,-130.7,-86.2,-105.5,,,,300.0
Marquez Valdes-Scantling,BUF,WR,30.8,-124.5,-80.0,-99.3,Marquez,Valdes-Scantling,BUF,258.2
Parris Campbell,PHI,WR,25.400000000000002,-129.9,-85.4,-104.7,,,,300.0
Cedric Tillman,CLE,WR,27.5,-127.8,-83.3,-102.6,Cedric,Tillman,CLE,300.0
Ryan Flournoy,DAL,WR,24.8,-130.5,-86.0,-105.3,Ryan,Flournoy,DAL,300.0
Jason Brownlee,NYJ,WR,23.5,-131.8,-87.3,-106.6,,,,300.0
Malik Washington,MIA,WR,18.6,-136.7,-92.2,-111.5,Malik,Washington,MIA,250.5
Bo Melton,GB,WR,17.2,-138.1,-93.6,-112.9,Bo,Melton,GB,299.5
Trent Sherfield Sr,MIN,WR,17.1,-138.2,-93.7,-113.0,,,,300.0
Devin Duvernay,JAX,WR,17.900000000000002,-137.4,-92.9,-112.2,,,,300.0
Tyler Johnson,LAR,WR,17.5,-137.8,-93.3,-112.6,,,,300.0
Skyy Moore,KC,WR,15.100000000000001,-140.2,-95.7,-115.0,Skyy,Moore,KC,300.0
Allen Robinson II,NYG,WR,19.9,-135.4,-90.9,-110.2,,,,300.0
Dyami Brown,WAS,WR,16.6,-138.7,-94.2,-113.5,,,,300.0
Ainias Smith,PHI,WR,16.0,-139.3,-94.8,-114.1,Ainias,Smith,PHI,300.0
JuJu Smith-Schuster,NE,WR,20.1,-135.2,-90.7,-110.0,JuJu,Smith-Schuster,NE,300.0
Ray-Ray McCloud III,ATL,WR,17.0,-138.3,-93.8,-113.1,,,,300.0
David Moore,CAR,WR,17.200000000000003,-138.1,-93.6,-112.9,,,,300.0
Javon Baker,NE,WR,16.5,-138.8,-94.3,-113.6,Javon,Baker,NE,202.2
Kadarius Toney,KC,WR,12.0,-143.3,-98.8,-118.1,Kadarius,Toney,KC,300.0
KJ Osborn,NE,WR,15.600000000000001,-139.7,-95.2,-114.5,K.J.,Osborn,NE,255.3
Donovan Peoples-Jones,DET,WR,14.5,-140.8,-96.3,-115.6,,,,300.0
Laviska Shenault Jr,SEA,WR,13.4,-141.9,-97.4,-116.7,,,,300.0
Jordan Whittington,LAR,WR,12.0,-143.3,-98.8,-118.1,,,,300.0
Mack Hollins,BUF,WR,10.9,-144.4,-99.9,-119.2,,,,300.0
Tyler Scott,CHI,WR,9.9,-145.4,-100.9,-120.2,,,,300.0
Johnny Wilson,PHI,WR,10.5,-144.8,-100.3,-119.6,Johnny,Wilson,PHI,300.0
Isaiah McKenzie,NYG,WR,9.1,-146.2,-101.7,-121.0,,,,300.0
Quez Watkins,PIT,WR,10.600000000000001,-144.7,-100.2,-119.5,,,,300.0
Jalen Nailor,MIN,WR,10.3,-145.0,-100.5,-119.8,,,,300.0
Anthony Gould,IND,WR,10.0,-145.3,-100.8,-120.1,,,,300.0
Ihmir Smith-Marsette,CAR,WR,8.0,-147.3,-102.8,-122.1,,,,300.0
David Bell,CLE,WR,10.0,-145.3,-100.8,-120.1,,,,300.0
John Metchie,HOU,WR,8.100000000000001,-147.2,-102.7,-122.0,John,Metchie,HOU,300.0
Nick Westbrook-Ikhine,TEN,WR,8.600000000000001,-146.7,-102.2,-121.5,,,,300.0
Braxton Berrios,MIA,WR,7.800000000000001,-147.5,-103.0,-122.3,,,,300.0
Jalen Reagor,NE,WR,6.1000000000000005,-149.2,-104.7,-124.0,,,,300.0
Jalen Brooks,DAL,WR,5.7,-149.6,-105.1,-124.4,,,,300.0
Casey Washington,ATL,WR,5.6000000000000005,-149.7,-105.2,-124.5,,,,300.0
Charlie Jones,CIN,WR,5.6000000000000005,-149.7,-105.2,-124.5,,,,300.0
Deonte Harty,BAL,WR,5.2,-150.1,-105.6,-124.9,,,,300.0
Sterling Shepard,TB,WR,0.0,-155.3,-110.8,-130.1,,,,300.0
Travis Kelce,KC,TE,149.3,35.4,38.5,19.2,Travis,Kelce,KC,27.1
Mark Andrews,BAL,TE,126.10000000000001,12.2,15.3,-4.0,Mark,Andrews,BAL,53.9
Sam LaPorta,DET,TE,131.3,17.4,20.5,1.2,Sam,LaPorta,DET,26.1
George Kittle,SF,TE,121.0,7.1,10.2,-9.1,George,Kittle,SF,72.0
David Njoku,CLE,TE,119.5,5.6,8.7,-10.6,David,Njoku,CLE,90.2
Kyle Pitts,ATL,TE,118.5,4.6,7.7,-11.6,Kyle,Pitts,ATL,64.5
Trey McBride,ARI,TE,128.4,14.5,17.6,-1.7,Trey,McBride,ARI,41.7
Jake Ferguson,DAL,TE,108.9,-5.0,-1.9,-21.2,Jake,Ferguson,DAL,92.7
Dalton Kincaid,BUF,TE,119.9,6.0,9.1,-10.2,Dalton,Kincaid,BUF,54.2
Evan Engram,JAX,TE,126.7,12.8,15.9,-3.4,Evan,Engram,JAX,71.0
TJ Hockenson,MIN,TE,113.9,0.0,3.1,-16.2,T.J.,Hockenson,MIN,103.5
Dallas Goedert,PHI,TE,104.2,-9.7,-6.6,-25.9,Dallas,Goedert,PHI,113.6
Brock Bowers,LV,TE,97.3,-16.6,-13.5,-32.8,Brock,Bowers,LV,83.3
Dalton Schultz,HOU,TE,89.7,-24.2,-21.1,-40.4,Dalton,Schultz,HOU,120.7
Cole Kmet,CHI,TE,89.1,-24.8,-21.7,-41.0,Cole,Kmet,CHI,127.4
Pat Freiermuth,PIT,TE,84.30000000000001,-29.6,-26.5,-45.8,Pat,Freiermuth,PIT,130.0
Tyler Conklin,NYJ,TE,85.9,-28.0,-24.9,-44.2,Tyler,Conklin,NYJ,179.0
Juwan Johnson,NO,TE,71.5,-42.4,-39.3,-58.6,Juwan,Johnson,NO,200.9
Hunter Henry,NE,TE,69.2,-44.7,-41.6,-60.9,Hunter,Henry,NE,173.0
Isaiah Likely,BAL,TE,58.7,-55.2,-52.1,-71.4,Isaiah,Likely,BAL,186.1
Cade Otton,TB,TE,71.7,-42.2,-39.1,-58.4,Cade,Otton,TB,152.0
Chigoziem Okonkwo,TEN,TE,76.80000000000001,-37.1,-34.0,-53.3,Chigoziem,Okonkwo,TEN,163.6
Luke Musgrave,GB,TE,71.5,-42.4,-39.3,-58.6,Luke,Musgrave,GB,139.2
Jonnu Smith,MIA,TE,65.2,-48.7,-45.6,-64.9,Jonnu,Smith,MIA,207.7
Hayden Hurst,LAC,TE,60.0,-53.9,-50.8,-70.1,Hayden,Hurst,LAC,237.6
Ben Sinnott,WAS,TE,61.0,-52.9,-49.8,-69.1,Ben,Sinnott,WAS,160.4
Dawson Knox,BUF,TE,48.3,-65.6,-62.5,-81.8,Dawson,Knox,BUF,230.2
